ID,Sample,negativity,neutrality,positivity,compound,polarity,subjectivity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Verdadero,Misinformation,Desinformación,ProGob,ContraGob,NoVerificable,MisDisInformation,Propaganda
1,A,0,1,0,0,0.25,0.333333333,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0,0,1,0,0
2,A,0,0.838,0.162,0.7713,0,0.9,0,0,0,0,0,0,0.111111111,0,0,0.037037037,1,0,0,0,0,0,0,0
3,A,0,0.895,0.105,0.6437,0,0,0,0.034482759,0,0.034482759,0.034482759,0.068965517,0.103448276,0.034482759,0.034482759,0,1,0,0,0,1,0,0,1
4,A,0.11,0.89,0,-0.6369,0,0.5,0,0,0,0,0,0.043478261,0.043478261,0,0,0.086956522,1,0,0,0,0,0,0,0
5,A,0.229,0.677,0.094,-0.4949,0.216666667,0.566666667,0.066666667,0.066666667,0,0.066666667,0.066666667,0.066666667,0.2,0,0.066666667,0.066666667,0,0,0,0,0,1,0,0
6,A,0,0.901,0.099,0.3182,0,0,0,0.111111111,0,0.111111111,0,0.111111111,0.166666667,0,0.055555556,0.166666667,0,1,0,0,1,0,1,1
7,A,0.06,0.835,0.105,0.3182,0.05,0.2125,0,0.04,0,0.04,0,0.08,0,0,0,0,1,0,0,0,0,0,0,0
8,A,0.203,0.736,0.06,-0.8126,-0.154166667,0.533333333,0.086956522,0.043478261,0.043478261,0.130434783,0,0.130434783,0.086956522,0.130434783,0,0.086956522,0,0,0,0,1,0,0,1
9,A,0.143,0.79,0.067,-0.5719,-0.2,0.275,0.05,0,0.05,0.05,0.05,0.15,0.15,0,0,0.1,0,1,0,1,0,0,1,1
10,A,0.183,0.76,0.057,-0.7151,1.85E-17,0.566666667,0,0.029411765,0,0,0.029411765,0.029411765,0.058823529,0.029411765,0,0.058823529,1,0,0,0,0,0,0,0
11,A,0,1,0,0,0.25,0.333333333,0,0,0,0,0,0,0.115384615,0,0,0.038461538,0,0,0,0,0,0,0,0
12,A,0.109,0.891,0,-0.6131,0,0,0.181818182,0.136363636,0.045454545,0.181818182,0,0.181818182,0.136363636,0.136363636,0.090909091,0,0,1,0,1,0,0,1,1
